"","Quantiseq_Macrophage_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"R3388_YZ_57",0.0621285495313048,0.120785589084299,0.121615196943944,0.142903688831567,0.0506425355737545,0.0171773891274456,0,0.0671081119528915,0.0427714335677411,0.182312025732697,0.207637838481615
"R3388_YZ_58",0.0620032259830716,0.131520812264261,0.132331290139132,0.0855507716419838,0.0684418220110125,0,0.049315229663198,0.0837448392196596,0.215534475131075,0.0682009513867184,0.0793661424272448
"R3388_YZ_60",0.0603009129487901,0.158258440056813,0.157968121978511,0.0133114906361676,0.0532259728097401,0.0633074254698796,0,0.0576311405178242,0.0841036284732916,0,0.0943327243082226
"R3388_YZ_61",0.0940350552881264,0.155567132425444,0.158924559882806,0.0539278513272208,0.102276243100162,0.0271286928844379,0.00142431325724013,0.115206012541459,0.15412486921137,0.228774137981247,0.23756862452436
"R3388_YZ_62",0.104686341199468,0.158004987723813,0.159221844175358,0.107224412242845,0.0653342800999394,0.0854425679241612,0,0.0712424124540715,0,0.171303028988144,0.154285752223188
"R4163_YZ_1",0.0375539765179503,0.162374580890413,0.155867353169805,0.0277571514528362,0.0636518171902934,0.0122395590821288,0,0.077469369408754,0,0,0.071189751124596
"R4163_YZ_2",0,0.135434139799228,0.132876567463858,0,0,0.0135439802186734,0,0,0,0.0263470420901584,0.153969473790281
"R4163_YZ_3",0.0165362186548545,0.0941815848446107,0.0878476012968077,0.0431291675637523,0,0.01217045042145,0,0,0,0,0.156985296957048
"R4163_YZ_5",0.0188432286260506,0.129733337847488,0.125452260385637,0.0617489366990032,0,0.0542971731451107,0,0.029762388319962,0.0231081535297584,0.0565966528421573,0.319103369034398
"R4163_YZ_7",0.0467001768441295,0.137314342471947,0.129914299673381,0.264640903609754,0.0497322640954631,0,0.175187232686539,0.0598682642137171,0.152187392808469,0,0.135434331848853
"R4163_YZ_8",0,0.156252429471768,0.151110573892444,0,0,0,0,0,0,0,0.0835258397201122
"R4163_YZ_9",0.0178631752274734,0.116226488080602,0.111879785405713,0.158640309541578,0.0121339804903127,0.0721912117331145,0.00144886532123103,0.0244197017199676,0.109163306222846,0.209768991856576,0.369784520592335
"R4163_YZ_16",0.0311560041624698,0.137111422177302,0.128828966209771,0.0746671439149072,0.042917534118529,0.0883677412066618,0,0.0571362576025655,0,0.0721824396636284,0.346136902087249
"R4163_YZ_17",0,0.171772611614321,0.16809544651473,0,0,0,0,0,0,0,0.191624454963662
"R4163_YZ_18",0,0.143202166340208,0.140164763483194,0,0,0.0110163997834658,0,0,0.0133583850490864,0,0.171417445410269
"R4163_YZ_19",0,0.134609577257405,0.133729244679634,0,0,0,0,0,0,0,0.0984764751306318
"R4163_YZ_20",0.0495739694841299,0.124500837486949,0.122058934851791,0.0659045066953651,0.0410969525061808,0.031446421570378,0,0.0570285103517505,0,0.111053859038884,0.201131336098987
"R4163_YZ_21",0.0294044458450417,0.125324968781495,0.126593112059037,0,0.0571789024395325,0.000492896717020005,0,0.0661403808477738,0,0,0.0269448032501762
"R4163_YZ_22",0.0536782745186082,0.137201168371712,0.136487128465248,0.014905658822651,0.0309032151436533,0.0444272963215234,0,0.0344060185200216,0,0.0556479603798013,0.124175080959057
"R4163_YZ_23",0.0469403894829201,0.0951449350666782,0.0932813545173202,0.0672922624795167,0.0287439714141956,0.0252519185202095,0,0.0373005690440309,0,0.0689454070894006,0.278146440029428
"R4163_YZ_25",0.0856669979272261,0.130594032400443,0.129239907515104,0.0987263343092826,0.0777357795049493,0.0292845362380335,0.00433946156656786,0.0893455497240794,0.188673094428878,0.142587350658271,0.134707789524223
"R4163_YZ_26",0.0802238993859025,0.129224116059772,0.130564513391048,0.136020931437261,0.0972351630887452,0.0950721765880154,0,0.107526152298916,0,0.162245850632642,0.0488718454590254
"R4163_YZ_28",0,0.124634449471318,0.119982283547175,0,0,0,0,0,0,0,0.120787233428595
